x,y,score,area,zone
-193.9892578125,555.9451562500001,4,314,1
271.5849609375,462.49296875000005,5,235,2
37.8515625,400.50937500000003,6,331,2
84.2197265625,400.50937500000003,6,336,2
114.50097656250001,372.85515625000005,6,226,2
-45.421875,361.41203125000004,7,407,1
-105.98437500000001,342.34015625,7,243,1
258.3369140625,313.73234375000004,6,279,2
32.173828125,303.2428125,7,359,2
503.42578125000006,280.3565625,5,409,2
95.5751953125,269.86703125,8,434,2
-458.95019531250006,209.790625,5,270,1
-163.7080078125,179.27562500000002,8,497,1
228.05566406250003,168.78609375000002,8,175,2
-48.2607421875,158.29656250000002,9,198,1
-205.34472656250003,139.22468750000002,8,326,1
340.6640625,113.47765625000001,7,315,2
80.4345703125,106.80250000000001,9,284,2
-163.7080078125,79.14828125000001,9,118,1
-117.33984375000001,64.844375,9,259,1
-459.89648437500006,38.143750000000004,6,254,1
-157.083984375,38.143750000000004,9,42,1
159.9228515625,11.443125,9,253,2
-197.7744140625,-42.911718750000006,8,256,3
10.4091796875,-46.726093750000004,10,197,4
66.240234375,-50.54046875,10,145,4
-33.1201171875,-60.076406250000005,10,354,3
-306.59765625,-90.59140625,7,495,3
133.4267578125,-102.03453125,9,109,4
-52.99218750000001,-117.29203125000001,9,219,3
-291.45703125,-162.1109375,7,295,3
271.5849609375,-183.09,7,258,4
45.421875,-184.99718750000002,9,190,4
147.62109375,-210.74421875000002,8,249,4
72.8642578125,-243.16640625000002,8,234,4
338.771484375,-273.68140625,6,186,4
475.98339843750006,-287.9853125,5,144,4
-123.96386718750001,-291.7996875,7,253,3
-62.45507812500001,-345.2009375,7,231,3
290.5107421875,-368.0871875,6,269,4
-659.5634765625,-379.53031250000004,3,230,3
-166.546875,-401.46296875,6,236,3
32.173828125,-424.34921875000003,6,391,4
-305.6513671875,-429.11718750000006,5,200,3
260.2294921875,-470.12171875,5,391,4
-241.30371093750003,-480.61125000000004,5,315,3
-236.57226562500003,-657.9796875000001,3,345,3
88.951171875,-695.16984375,3,341,4
443.80957031250006,-708.52015625,2,185,4
246.03515625000003,-732.36,3,261,4
-172.224609375,-843.93046875,2,134,3
-135.3193359375,-894.4709375000001,1,197,3
