x,y,score,area,zone
-378.7248046875,834.9108398437501,1,154,1
-178.78886718750002,449.191796875,5,180,1
-428.70878906250005,412.08464843750005,4,429,1
-254.72607421875003,304.66921875,6,172,1
75.93720703125001,264.63255859375,8,641,2
-49.02275390625,239.24345703125002,8,692,1
-199.93593750000002,191.39476562500002,8,284,1
-387.37587890625,187.48875,6,229,1
-297.02021484375,165.02916015625001,7,184,1
-666.13271484375,149.40509765625,3,472,1
-760.33330078125,127.92201171875001,3,251,1
273.95068359375,106.43892578125,7,352,2
-526.754296875,103.50941406250001,5,282,1
-46.1390625,99.6033984375,9,280,1
-424.86386718750003,70.30828125000001,6,236,1
11.534765625,70.30828125000001,10,151,2
155.7193359375,61.51974609375,9,323,2
-173.98271484375002,16.60056640625,9,470,1
-710.3493164062501,-3.906015625,3,359,3
-401.7943359375,-67.37876953125,6,532,3
101.8904296875,-97.650390625,9,267,4
-151.87441406250002,-124.9925,8,294,3
695.9308593750001,-145.49908203125,3,458,4
-322.01220703125,-151.35810546875,7,424,3
-16.340917968750002,-178.70021484375002,9,261,3
-509.45214843750006,-210.92484375,5,485,3
-121.1150390625,-219.71337890625003,8,416,3
-263.3771484375,-269.515078125,7,300,3
-487.34384765625003,-287.09214843750004,5,262,3
0.0,-298.8101953125,7,232,0
25.953222656250002,-338.84685546875005,7,183,4
-308.55498046875005,-351.54140625,6,361,3
-354.69404296875,-366.18896484375,5,324,3
-619.0324218750001,-419.8966796875,3,810,3
-915.0914062500001,-443.3327734375,0,348,3
-653.63671875,-443.3327734375,2,242,3
890.0994140625,-607.3854296875,0,1,4
886.2544921875001,-609.3384375,0,12,4
-438.32109375000005,-648.39859375,2,325,3
742.0699218750001,-742.14296875,0,186,4
