x,y,score,area,zone
324.99351562500004,738.54873046875,2,265,2
331.64542968750004,718.4326171875,2,1,2
207.159609375,462.67060546875,5,335,2
-649.0367578125,410.94345703125003,3,261,1
244.22027343750003,407.11181640625006,6,303,2
382.00992187500003,381.2482421875,5,271,2
918.9144140625001,256.719921875,1,141,2
-19.005468750000002,77.59072265625001,10,330,1
348.75035156250004,72.80117187500001,7,225,2
-254.67328125000003,25.863574218750003,8,292,1
241.369453125,22.03193359375,8,302,2
705.1028906250001,20.11611328125,3,313,2
355.40226562500004,-33.52685546875,7,307,4
-89.325703125,-42.148046875000006,9,246,3
-45.613125000000004,-74.71699218750001,10,206,3
262.27546875,-91.00146484375,8,172,4
225.21480468750002,-206.90859375000002,7,487,4
80.7732421875,-210.74023437500003,8,299,4
-337.3470703125,-263.42529296875,6,358,3
-71.2705078125,-322.81572265625005,7,294,3
215.7120703125,-324.73154296875003,6,233,4
-57.966679687500005,-372.62705078125003,7,287,3
358.25308593750003,-409.02763671875005,5,204,4
-191.00496093750002,-428.18583984375005,6,173,3
558.76078125,-452.13359375000005,3,299,4
391.51265625,-533.55595703125,4,223,4
783.0253125,-559.4195312500001,1,231,4
239.46890625,-621.6836914062501,4,322,4
770.6717578125,-733.7591796875,0,4,4
773.5225781250001,-737.5908203125,0,5,4
651.887578125,-811.34990234375,0,175,4
328.79460937500005,-909.0567382812501,1,206,4
429.52359375000003,-924.3833007812501,0,323,4
-103.5798046875,-928.2149414062501,1,131,3
