x,y,score,area,zone
145.011328125,283.02011718750003,7,160,2
-247.019296875,228.7828125,7,352,1
-107.00835937500001,223.8521484375,8,176,1
-186.01453125,215.9630859375,8,421,1
-87.006796875,213.00468750000002,8,104,1
123.00960937500001,178.49003906250002,8,216,2
86.00671875,172.5732421875,8,252,2
-104.008125,164.6841796875,8,198,1
-125.00976562500001,160.73964843750002,8,149,1
-295.02304687500003,125.2388671875,7,257,1
-77.006015625,97.62714843750001,9,292,1
33.002578125,95.6548828125,9,156,2
176.01375000000002,89.7380859375,8,345,2
88.00687500000001,78.890625,9,202,2
-161.012578125,71.98769531250001,9,228,1
312.024375,46.348242187500006,7,384,2
-322.02515625,41.417578125000006,7,166,1
149.011640625,40.4314453125,9,156,2
304.02375,3.9445312500000003,7,369,2
32.002500000000005,-15.778125000000001,10,140,4
168.013125,-65.084765625,9,432,4
261.020390625,-70.0154296875,8,345,4
-33.002578125,-91.71035156250001,9,333,3
210.01640625000002,-96.64101562500001,8,387,4
-97.00757812500001,-102.55781250000001,9,209,3
106.00828125000001,-102.55781250000001,9,245,4
-257.020078125,-117.34980468750001,8,294,3
239.01867187500002,-122.28046875000001,8,263,4
273.021328125,-141.01699218750002,7,310,4
-86.00671875,-149.8921875,9,232,3
119.009296875,-204.1294921875,8,248,4
23.001796875,-220.89375,8,270,4
-44.003437500000004,-244.56093750000002,8,242,3
7.000546875,-254.42226562500002,8,158,4
40.003125000000004,-266.255859375,8,247,4
-38.00296875,-287.95078125000003,7,251,3
78.00609375,-355.99394531250005,7,324,4
-209.016328125,-356.98007812500003,6,349,3
57.004453125000005,-494.05253906250005,5,374,4
590.0460937500001,-524.6226562500001,2,297,4
-30.00234375,-946.6875000000001,1,188,3
