x,y,score,area,zone
-818.3853125,716.33484375,0,24,1
-503.31687500000004,337.85640625,4,274,1
-284.35421875000003,115.92140625,7,230,1
-486.47359375,101.05968750000001,5,295,1
257.60312500000003,47.557500000000005,8,236,2
-415.13734375,-95.11500000000001,6,278,3
-706.42703125,-122.856875,3,284,3
-85.2071875,-141.68171875000002,9,441,3
883.776875,-196.1746875,1,422,4
296.24359375,-325.96703125000005,6,415,4
-14.861718750000001,-346.7734375,7,229,3
305.16062500000004,-362.6259375,6,365,4
87.18875000000001,-445.85156250000006,6,391,4
220.94421875,-478.54734375000004,5,279,4
357.67203125000003,-503.31687500000004,4,381,4
-63.410000000000004,-508.27078125,5,267,3
-221.935,-517.1878125000001,5,351,3
225.89812500000002,-533.0403125,5,453,4
67.373125,-553.84671875,5,362,4
-424.05437500000005,-566.7268750000001,3,314,3
163.47890625000002,-570.69,4,410,4
360.644375,-574.653125,4,376,4
-126.82000000000001,-605.36734375,4,359,3
-9.9078125,-631.1276562500001,4,406,3
646.98015625,-688.5929687500001,1,436,4
380.46000000000004,-701.4731250000001,2,78,4
-533.0403125,-715.3440625000001,1,329,3
-437.9253125,-737.14125,2,230,3
-111.95828125000001,-762.9015625000001,3,334,3
575.64390625,-819.3760937500001,0,233,4
218.96265625,-821.3576562500001,2,209,4
360.644375,-879.81375,1,420,4
268.50171875,-892.69390625,1,330,4
-230.85203125,-981.8642187500001,0,505,3
178.34062500000002,-1000.6890625000001,0,112,4
