x,y,score,area,zone
-55.263281250000006,858.4468750000001,2,236,1
639.890625,822.3530859375,0,91,2
-287.95078125000003,784.30828125,2,188,1
-165.78984375000002,648.7126953125,4,368,1
-233.65703125000002,592.1332421875001,4,468,1
-323.8234375,517.9946484375,4,685,1
-359.69609375000005,486.7783984375,4,438,1
-947.2320312500001,471.17027343750004,0,571,1
-649.5859375,438.97851562500006,2,279,1
-484.76562500000006,408.73777343750004,4,229,1
-277.28593750000005,386.30109375,6,188,1
-577.840625,378.49703125,3,408,1
-240.44375000000002,377.52152343750004,6,121,1
-437.25859375000005,355.08484375,5,434,1
-259.834375,342.40324218750004,6,103,1
-487.67421875,334.5991796875,4,371,1
417.86796875000005,280.94625,5,197,2
-400.41640625,270.2156640625,5,277,1
-295.70703125,268.2646484375,6,220,1
-430.471875,199.00359375000002,6,207,1
-139.6125,169.73835937500002,8,327,1
-385.8734375,150.22820312500002,6,341,1
1.9390625000000001,73.1630859375,10,285,2
-927.8414062500001,69.2610546875,1,320,1
-227.83984375000003,43.8978515625,8,50,1
-388.78203125000005,-25.363203125000002,6,517,3
-11.634375,-52.677421875,10,165,3
192.93671875,-58.530468750000004,8,37,4
-392.66015625,-128.76703125,6,474,3
176.4546875,-169.73835937500002,8,772,4
-214.26640625000002,-182.4199609375,8,287,3
-147.36875,-268.2646484375,7,616,3
-737.81328125,-286.79929687500004,2,414,3
-367.45234375,-379.4725390625,5,224,3
-796.9546875000001,-395.08066406250003,1,56,3
57.202343750000004,-530.67625,5,12,4
-504.15625000000006,-669.198359375,2,303,3
-170.63750000000002,-934.5364843750001,1,159,3
