x,y,score,area,zone
-399.4037109375,740.5910546875001,2,243,1
-146.883984375,734.6105078125,3,772,1
254.5318359375,588.0871093750001,4,400,2
630.7962890625,437.5766796875,3,322,2
-113.6841796875,389.7323046875,6,324,1
-25.151367187500004,380.761484375,7,216,1
159.96269531250002,374.78093750000005,6,284,2
-650.9173828125,359.82957031250004,3,392,1
-373.2462890625,347.8684765625,5,307,1
190.14433593750002,335.90738281250003,6,173,2
103.6236328125,267.13109375,8,121,2
-83.5025390625,186.3937109375,8,330,1
-107.64785156250001,141.539609375,9,401,1
69.4177734375,86.7179296875,9,310,2
-92.55703125000001,67.77953125,9,206,1
-410.47031250000003,56.8151953125,6,340,1
-9.054492187500001,9.967578125000001,10,79,1
-185.11406250000002,-15.948125000000001,9,201,3
288.7376953125,-29.902734375,7,629,4
-3.0181640625000004,-44.854101562500006,10,323,3
454.73671875,-83.72765625000001,6,212,4
191.150390625,-105.656328125,8,158,4
92.55703125000001,-197.358046875,8,193,4
316.9072265625,-205.33210937500002,7,128,4
463.7912109375,-228.25753906250003,5,208,4
251.51367187500003,-265.137578125,7,230,4
-155.9384765625,-274.1083984375,7,183,3
382.30078125,-282.0824609375,6,160,4
-218.31386718750002,-287.06625,7,276,3
315.90117187500005,-305.007890625,6,219,4
154.93242187500002,-394.71609375,6,289,4
-426.56718750000005,-481.43402343750006,4,522,3
210.26542968750002,-611.0125390625001,4,360,4
180.08378906250002,-672.8115234375,3,223,4
-270.62871093750005,-702.7142578125,3,237,3
355.13730468750003,-744.5780859375001,2,224,4
90.544921875,-897.0820312500001,1,169,4
278.6771484375,-899.0755468750001,1,387,4
