x,y,score,area,zone
-108.88167968750001,890.8743750000001,1,223,1
-625.3469921875001,715.0439062500001,1,309,1
-367.1143359375,716.0207421875001,2,250,1
373.85921875,716.0207421875001,2,267,2
-317.00949218750003,690.6230078125001,3,367,1
171.512734375,609.5456250000001,4,404,2
-687.978046875,485.48746093750003,2,192,1
217.76335937500002,364.3598046875,6,190,2
-258.23265625,349.70726562500005,6,264,1
267.86820312500004,349.70726562500005,6,427,2
-312.19171875,316.49484375000003,6,371,1
-152.241640625,316.49484375000003,7,333,1
-129.116328125,270.5835546875,7,450,1
-238.9615625,221.74175781250003,7,218,1
-677.3789453125,197.32085937500003,3,305,1
-270.7588671875,189.506171875,7,151,1
-124.29855468750002,179.73781250000002,8,206,1
205.23714843750003,157.27058593750002,8,212,2
-426.85472656250005,125.03500000000001,6,219,1
-53.9590625,86.93839843750001,9,289,1
111.77234375,66.42484375000001,9,203,2
698.5771484375,-1.9536718750000002,3,451,4
-314.11882812500005,-20.5135546875,7,801,3
-50.10484375,-51.772304687500004,10,125,3
-102.136796875,-69.3553515625,9,169,3
111.77234375,-84.9847265625,9,371,4
366.15078125,-90.84574218750001,7,494,4
-709.1762500000001,-134.803359375,3,449,3
177.29406250000002,-133.82652343750001,8,230,4
-234.14378906250002,-211.9733984375,7,472,3
-525.1373046875001,-434.69199218750003,3,309,3
278.4673046875,-449.34453125000005,5,266,4
-484.66800781250004,-630.0591796875001,2,207,3
