x,y,score,area,zone
-203.8246875,405.95767578125003,6,279,1
-267.080625,379.63623046875,6,301,1
-153.6215625,323.95625,7,315,1
51.2071875,248.02900390625,8,454,2
-371.503125,235.88064453125003,6,217,1
-65.26406250000001,197.41083984375,8,380,1
-258.0440625,187.28720703125,7,241,1
-469.90125000000006,170.07703125,5,226,1
-348.4096875,170.07703125,6,307,1
138.56062500000002,167.03994140625002,8,257,2
-407.649375,130.59486328125,6,308,1
-257.04,123.5083203125,8,255,1
-105.4265625,101.23632812500001,9,276,1
119.48343750000001,83.01378906250001,9,337,2
-370.49906250000004,58.717070312500006,7,203,1
-125.50781250000001,53.65525390625,9,258,1
-117.47531250000002,33.40798828125,9,3,1
350.4178125,25.309082031250004,7,32,2
-117.47531250000002,19.23490234375,9,160,1
-157.63781250000002,8.09890625,9,302,1
-443.79562500000003,-18.2225390625,6,297,3
-95.38593750000001,-24.29671875,9,590,3
-420.70218750000004,-42.5192578125,6,309,3
-162.658125,-68.840703125,9,100,3
-248.00343750000002,-93.137421875,8,284,3
-320.29593750000004,-124.52068359375001,7,293,3
-398.6128125,-192.34902343750002,6,233,3
-307.243125,-192.34902343750002,7,206,3
-253.02375,-197.41083984375,7,386,3
-86.34937500000001,-217.65810546875002,8,313,3
-351.421875,-234.86828125000002,6,176,3
59.2396875,-234.86828125000002,8,247,4
-150.609375,-272.32572265625004,7,345,3
-226.918125,-405.95767578125003,6,422,3
-181.73531250000002,-439.36566406250006,6,225,3
-133.5403125,-454.55111328125,6,311,3
-356.44218750000005,-927.324765625,0,246,3
