x,y,score,area,zone
-588.631640625,868.8537304687501,0,287,1
-703.8199218750001,807.56939453125,0,29,1
48.80859375,786.811796875,2,135,2
691.1296875,692.90837890625,0,305,2
102.49804687500001,540.6859960937501,5,327,2
-615.9644531250001,508.0669140625,2,349,1
-307.494140625,419.10578125,5,273,1
-127.878515625,379.56750000000005,6,458,1
-668.677734375,217.460546875,3,216,1
-248.92382812500003,214.49517578125003,7,192,1
-132.759375,215.48363281250002,8,339,1
-427.56328125000005,124.54558593750001,6,244,1
-930.291796875,103.78798828125001,1,156,1
285.0421875,93.90341796875,7,237,2
-503.70468750000003,30.64216796875,5,289,1
-386.56406250000003,-100.8226171875,6,305,3
32.213671875,-117.62638671875001,9,208,4
-534.9421875,-158.15312500000002,5,275,3
-492.96679687500006,-202.63369140625002,5,201,3
-627.678515625,-233.275859375,4,640,3
-285.0421875,-325.20236328125003,6,303,3
-104.45039062500001,-351.890703125,7,308,3
-758.4855468750001,-369.6829296875,2,250,3
-121.04531250000001,-398.34818359375004,6,382,3
-898.0781250000001,-410.20966796875,0,306,3
-271.37578125000005,-428.99035156250005,5,288,3
-575.94140625,-459.63251953125,3,640,3
-778.98515625,-487.30931640625005,1,333,3
666.725390625,-501.14771484375,2,367,4
-217.68632812500002,-509.05537109375,5,269,3
-438.301171875,-511.03228515625005,4,366,3
-474.41953125000003,-622.7279296875,2,337,3
-273.328125,-631.62404296875,3,344,3
103.47421875,-747.2735156250001,3,303,4
-300.66093750000005,-768.0311132812501,2,325,3
-106.40273437500001,-782.85796875,2,282,3
-391.44492187500003,-950.8956640625,0,258,3
