x,y,score,area,zone
137.5459375,495.03867187500003,5,494,2
-713.0138671875001,454.60722656250005,2,332,1
-747.4003515625001,447.704296875,2,150,1
-724.1389062500001,444.74589843750005,2,29,1
446.01292968750005,443.75976562500006,4,719,2
-734.252578125,437.84296875,2,1,1
-731.2184765625001,438.82910156250006,2,17,1
-153.7278125,325.423828125,7,228,1
-99.113984375,315.5625,7,1004,1
-132.4891015625,313.590234375,7,4,1
-860.6734765625,293.867578125,1,390,1
96.0798828125,255.4083984375,8,395,2
-150.69371093750001,225.8244140625,8,532,1
783.8095703125,219.90761718750002,2,10,2
774.7072656250001,205.11562500000002,2,129,2
-372.183125,201.17109375,6,373,1
139.568671875,194.2681640625,8,684,2
-632.1044921875,168.62871093750002,4,685,1
885.95765625,151.864453125,1,863,2
-122.3754296875,121.29433593750001,9,414,1
81.92074218750001,116.36367187500001,9,143,2
230.59171875,111.43300781250001,8,89,2
-63.71613281250001,108.47460937500001,9,390,1
71.8070703125,94.66875,9,221,2
243.73949218750002,92.69648437500001,8,237,2
-31.352382812500004,89.7380859375,9,110,1
40.454687500000006,86.77968750000001,9,34,2
51.57972656250001,86.77968750000001,9,5,2
104.17082031250001,78.890625,9,54,2
514.7858984375,78.890625,5,1133,2
-730.2071093750001,75.9322265625,3,682,1
297.34195312500003,73.9599609375,7,260,2
115.295859375,70.0154296875,9,262,2
-70.795703125,54.23730468750001,10,523,1
74.841171875,48.320507812500004,10,379,2
-788.8664062500001,19.72265625,2,730,1
264.978203125,10.847460937500001,8,33,2
-248.79632812500003,4.9306640625,8,157,1
256.887265625,2.9583984375,8,188,2
260.932734375,-2.9583984375,8,1,4
-261.9441015625,-5.916796875,8,353,3
-195.19386718750002,-11.83359375,8,293,3
585.5816015625,-24.6533203125,4,783,4
6.068203125,-31.556250000000002,10,345,4
-381.2854296875,-60.1541015625,6,917,3
86.97757812500001,-63.112500000000004,9,302,4
286.2169140625,-68.04316406250001,7,686,4
-148.67097656250002,-80.862890625,9,272,3
13.147773437500001,-85.7935546875,10,542,4
98.1026171875,-93.6826171875,9,616,4
94.0571484375,-96.64101562500001,9,9,4
166.8755859375,-116.36367187500001,8,250,4
552.2064843750001,-128.197265625,5,559,4
-41.466054687500005,-141.01699218750002,9,434,3
476.35394531250006,-142.9892578125,5,445,4
214.40984375000002,-153.83671875000002,8,604,4
421.7401171875,-159.753515625,6,285,4
385.3308984375,-163.69804687500002,6,232,4
55.625195312500004,-171.587109375,9,71,4
-149.68234375,-179.476171875,8,572,3
-366.11492187500005,-190.32363281250002,6,414,3
155.750546875,-190.32363281250002,8,3,4
306.44425781250004,-199.198828125,7,572,4
143.614140625,-202.15722656250003,8,352,4
-128.4436328125,-211.032421875,8,456,3
371.1717578125,-216.94921875000003,6,452,4
14.159140625000001,-218.921484375,8,418,4
252.84179687500003,-223.8521484375,7,727,4
-606.8203125,-225.8244140625,4,503,3
93.04578125,-242.58867187500002,8,784,4
129.455,-272.17265625000005,7,547,4
238.68265625,-286.96464843750005,7,589,4
303.41015625,-296.82597656250005,6,328,4
915.2873046875001,-316.54863281250005,1,377,4
51.57972656250001,-329.368359375,7,519,4
-193.17113281250002,-369.7998046875,6,538,3
-369.14902343750003,-386.56406250000003,5,545,3
-70.795703125,-399.38378906250006,6,86,3
-52.591093750000006,-406.28671875000003,6,486,3
-196.205234375,-475.31601562500003,5,415,3
107.20492187500001,-484.19121093750005,5,293,4
127.43226562500001,-510.816796875,5,347,4
383.30816406250005,-530.539453125,4,430,4
474.33121093750003,-532.51171875,3,658,4
47.5342578125,-638.0279296875001,4,778,4
-647.2750000000001,-723.8214843750001,0,621,3
364.0921875,-896.3947265625001,1,458,4
