x,y,score,area,zone
-301.60125000000005,816.605625,2,260,1
-278.782734375,794.5892968750001,2,56,1
-261.916875,673.4994921875001,3,235,1
-469.26773437500003,328.2434375,5,217,1
251.003671875,195.1447265625,7,333,2
231.16148437500001,161.11949218750001,8,147,2
300.609140625,133.09871093750002,7,254,2
-899.8432031250001,106.07867187500001,1,337,1
168.65859375000002,85.0630859375,9,304,2
424.6228125,76.05640625000001,6,399,2
133.934765625,74.054921875,9,266,2
253.98000000000002,41.0304296875,8,102,2
101.19515625000001,27.0200390625,9,301,2
346.246171875,1.0007421875,7,237,2
158.7375,-6.004453125,9,479,4
210.3271875,-19.014101562500002,8,225,4
-389.89898437500005,-27.0200390625,6,536,3
-21.82640625,-33.0244921875,10,113,3
233.145703125,-46.034140625000006,8,176,4
72.423984375,-57.04230468750001,10,237,4
173.619140625,-68.05046875000001,9,466,4
85.32140625000001,-86.063828125,9,534,4
207.35085937500003,-106.07867187500001,8,218,4
161.71382812500002,-107.0794140625,8,349,4
34.723828125000004,-114.08460937500001,9,1049,4
69.44765625000001,-123.09128906250001,9,205,4
240.09046875,-143.10613281250002,8,355,4
385.930546875,-146.10835937500002,6,212,4
-24.802734375000004,-168.12468750000002,9,284,3
489.10992187500005,-175.1298828125,5,342,4
-1021.8726562500001,-190.14101562500002,0,92,3
-52.581796875,-197.1462109375,8,296,3
166.67437500000003,-206.15289062500003,8,256,4
270.84585937500003,-221.16402343750002,7,211,4
-1021.8726562500001,-226.167734375,0,47,3
114.092578125,-229.1699609375,8,199,4
380.97,-237.17589843750002,6,327,4
22.818515625000003,-263.1951953125,8,217,4
489.10992187500005,-265.1966796875,5,354,4
34.723828125000004,-278.206328125,8,2,4
124.01367187500001,-278.206328125,7,265,4
219.256171875,-279.20707031250004,7,234,4
-129.96632812500002,-303.2248828125,7,313,3
362.11992187500005,-352.26125,5,351,4
190.485,-366.27164062500003,6,315,4
273.82218750000004,-384.285,6,174,4
77.38453125000001,-390.289453125,6,252,4
341.28562500000004,-395.2931640625,5,327,4
150.80062500000003,-472.35031250000003,5,246,4
373.03312500000004,-486.36070312500004,4,246,4
211.31929687500002,-503.3733203125,5,317,4
429.58335937500004,-562.417109375,3,487,4
401.80429687500003,-563.4178515625,3,458,4
233.145703125,-572.4245312500001,4,345,4
406.76484375,-661.4905859375001,3,330,4
8.928984375,-675.5009765625,4,164,4
88.297734375,-750.556640625,3,470,4
552.6049218750001,-832.6175000000001,0,270,4
