x,y,score,area,zone
-665.8136328125,606.9903125000001,1,196,1
-386.5062890625,523.5415625,4,475,1
-415.027109375,300.018125,5,219,1
117.0337109375,264.25437500000004,7,432,2
-437.64707031250003,193.7203125,6,305,1
-623.5241406250001,151.0025,4,342,1
-418.961015625,146.0353125,6,247,1
234.067421875,128.1534375,8,365,2
-643.1936718750001,105.30437500000001,4,177,1
-160.3066796875,95.37,9,296,1
-112.11632812500001,85.435625,9,143,1
-595.0033203125,74.5078125,4,703,1
-254.72042968750003,8.9409375,8,172,1
-91.4633203125,2.9803125,10,407,1
11.801718750000001,-4.9671875000000005,10,125,4
-400.27496093750005,-17.881875,6,357,3
-852.6741796875001,-31.790000000000003,2,256,3
-495.67218750000006,-39.737500000000004,5,387,3
17.702578125000002,-56.625937500000006,10,223,4
318.64640625000004,-60.5996875,7,375,4
-445.51488281250005,-71.5275,6,285,3
-994.2948046875001,-87.4225,0,237,3
-547.7964453125,-115.23875000000001,5,285,3
50.1573046875,-124.17968750000001,9,355,4
-532.0608203125,-148.0221875,5,352,3
-337.3324609375,-237.4315625,6,321,3
-542.8790625,-287.10343750000004,4,438,3
-540.912109375,-374.52593750000005,4,529,3
-191.7779296875,-378.49968750000005,6,292,3
307.82816406250004,-395.388125,5,349,4
-446.498359375,-476.85,4,526,3
-233.08394531250002,-478.836875,5,463,3
218.331796875,-646.7278125,3,574,4
-587.1355078125,-659.6425,1,241,3
-724.8222265625001,-666.5965625,0,163,3
501.57304687500005,-773.8878125000001,1,218,4
