x,y,score,area,zone
279.40031250000004,989.0433984375001,0,302,2
-384.423125,988.0413281250001,0,29,1
177.34984375000002,754.5589453125001,3,251,2
102.05046875000001,730.5092578125001,3,530,2
145.64484375,639.320859375,4,363,2
-340.82875,571.180078125,4,331,1
308.13296875000003,565.16765625,4,448,2
855.04421875,561.1593750000001,0,237,2
172.3959375,529.093125,5,375,2
466.65796875,506.04550781250003,3,385,2
394.3309375,480.99375000000003,4,349,2
125.82921875000001,458.948203125,6,239,2
324.97625000000005,379.78464843750004,5,364,2
806.4959375000001,378.78257812500004,1,383,2
-40.622031250000006,343.71011718750003,7,388,1
-995.73515625,327.67699218750005,0,271,1
-490.43671875,305.63144531250003,5,229,1
113.93984375000001,305.63144531250003,7,186,2
-308.13296875000003,289.5983203125,6,311,1
319.0315625,269.5569140625,6,408,2
178.34062500000002,253.52378906250001,7,157,2
81.24406250000001,218.451328125,8,141,2
124.83843750000001,217.4492578125,8,297,2
780.735625,215.44511718750002,2,360,2
254.63078125,208.43062500000002,7,375,2
-83.22562500000001,188.38921875000003,8,406,1
189.23921875000002,188.38921875000003,8,124,2
-59.446875000000006,143.2960546875,9,225,1
-373.52453125000005,113.23394531250001,6,384,1
-148.6171875,93.1925390625,9,331,1
419.10046875,76.15734375000001,6,373,2
-558.8006250000001,72.1490625,5,244,1
601.40421875,61.12628906250001,4,425,2
83.22562500000001,43.0890234375,10,436,2
-18.824843750000003,41.084882812500005,10,223,1
674.7220312500001,34.070390625,4,501,2
748.03984375,28.05796875,3,351,2
-111.95828125000001,6.012421875,9,450,1
131.77390625,5.0103515625,9,302,2
93.13343750000001,2.0041406250000002,10,416,2
-968.9840625,-8.016562500000001,1,210,3
269.4925,-12.02484375,8,261,4
794.6065625000001,-15.031054687500001,2,257,4
303.17906250000004,-29.060039062500003,7,419,4
669.768125,-29.060039062500003,4,618,4
-421.08203125000006,-37.0766015625,6,388,3
755.96609375,-52.107656250000005,3,639,4
556.8190625000001,-70.14492187500001,5,247,4
160.5065625,-102.211171875,9,255,4
616.2659375000001,-130.269140625,4,457,4
352.71812500000004,-184.38093750000002,6,385,4
758.9384375000001,-221.45753906250002,2,214,4
-336.865625,-241.4989453125,6,299,3
328.93937500000004,-259.5362109375,6,331,4
680.6667187500001,-262.542421875,3,339,4
-781.7264062500001,-285.5900390625,2,300,3
169.42359375,-313.6480078125,7,531,4
347.76421875,-373.7722265625,5,390,4
-40.622031250000006,-466.96476562500004,6,257,3
-74.30859375,-485.00203125,5,228,3
619.23828125,-576.1904296875,2,150,4
