x,y,score,area,zone
-279.39234375,611.25060546875,4,226,1
375.52734375,529.21697265625,4,358,2
81.11390625,502.2058984375,5,385,2
349.49078125,387.15873046875004,5,251,2
541.76078125,322.13207031250005,4,330,2
483.67921875,313.12837890625,5,838,2
-480.675,299.12263671875,5,358,1
-325.45703125,240.09843750000002,6,215,1
131.18421875,206.08449218750002,8,260,2
-117.16453125000001,200.08203125000003,8,239,1
-21.02953125,198.0812109375,8,304,1
391.54984375000004,187.07669921875,6,234,2
-457.64265625,171.07013671875,5,263,1
177.24890625,157.06439453125,8,161,2
-228.320625,132.054140625,8,535,1
490.68906250000003,129.05291015625002,5,310,2
-297.41765625,78.03199218750001,7,134,1
543.76359375,50.02050781250001,5,364,2
-404.568125,38.015585937500006,6,265,1
-39.05484375,1.00041015625,10,242,1
-874.2276562500001,-12.004921875,1,273,3
132.18562500000002,-36.014765625,9,203,4
584.8212500000001,-63.025839843750006,4,476,4
926.3007812500001,-65.02666015625,1,216,4
-909.276875,-68.02789062500001,1,190,3
167.23484375,-76.03117187500001,9,276,4
478.6721875,-90.0369140625,5,380,4
-377.53015625,-95.03896484375001,6,491,3
-245.34453125000002,-122.0500390625,8,257,3
5.007031250000001,-123.05044921875,9,245,4
-132.18562500000002,-129.05291015625002,9,224,3
448.63000000000005,-149.06111328125002,6,226,4
630.8859375000001,-166.0680859375,4,327,4
-94.1321875,-175.07177734375,8,156,3
237.33328125000003,-182.0746484375,7,173,4
282.3965625,-192.07875,7,478,4
505.71015625,-199.08162109375002,5,233,4
22.0309375,-202.08285156250003,8,201,4
-38.0534375,-214.0877734375,8,89,3
270.37968750000005,-222.09105468750002,7,342,4
365.51328125000003,-227.09310546875003,6,242,4
313.44015625000003,-253.10376953125,6,406,4
157.22078125000002,-266.10910156250003,7,138,4
10.014062500000001,-283.11607421875004,8,151,4
127.17859375,-322.13207031250005,7,215,4
-209.29390625000002,-326.13371093750004,6,682,3
506.7115625,-326.13371093750004,4,8,4
926.3007812500001,-340.13945312500005,0,234,4
295.41484375000005,-360.14765625,6,245,4
585.82265625,-366.15011718750003,3,309,4
-353.49640625,-374.1533984375,5,224,3
-6.0084375,-389.15955078125,6,204,3
-45.06328125,-400.16406250000006,6,167,3
253.35578125,-400.16406250000006,6,160,4
495.69609375000005,-431.17677734375,4,216,4
688.9675000000001,-431.17677734375,2,198,4
550.7734375,-449.18416015625,3,371,4
-155.21796875,-465.19072265625005,5,235,3
246.34593750000002,-466.19113281250003,5,330,4
404.568125,-488.20015625,4,451,4
228.320625,-541.2218945312501,4,335,4
12.016875,-548.224765625,5,166,4
-93.13078125000001,-579.23748046875,4,446,3
36.050625000000004,-582.2387109375001,4,391,4
181.25453125,-597.24486328125,4,451,4
-223.31359375000002,-613.2514257812501,4,278,3
194.27281250000001,-625.25634765625,4,382,4
232.32625000000002,-639.26208984375,3,1256,4
-270.37968750000005,-676.277265625,3,475,3
-36.050625000000004,-678.2780859375,3,328,3
-62.087187500000006,-698.2862890625,3,294,3
-149.20953125,-781.32033203125,2,175,3
-352.495,-866.3551953125001,1,255,3
465.65390625000003,-904.37078125,0,212,4
-225.31640625000003,-960.3937500000001,0,202,3
