x,y,score,area,zone
269.29593750000004,720.1641601562501,3,378,2
776.7778125000001,676.3111328125001,0,3,2
129.3009375,299.17509765625005,7,857,2
355.820625,185.1572265625,6,538,2
287.76750000000004,163.71796875,7,819,2
-563.8687500000001,118.8904296875,5,233,1
-161.383125,75.03740234375,9,531,1
-408.31875,30.20986328125,6,338,1
-70.9696875,30.20986328125,10,342,1
45.6928125,0.9745117187500001,10,444,2
-149.71687500000002,-33.133398437500006,9,26,3
-138.050625,-38.98046875,9,3,3
-130.27312500000002,-48.7255859375,9,307,3
-131.2453125,-73.08837890625,9,494,3
77.775,-109.1453125,9,382,4
-39.8596875,-134.4826171875,9,542,3
215.825625,-142.27871093750002,8,494,4
-261.5184375,-162.74345703125002,7,463,3
34.026562500000004,-162.74345703125002,9,278,4
50.55375,-161.76894531250002,9,2,4
-163.32750000000001,-201.72392578125002,8,606,3
-365.5425,-208.5455078125,6,387,3
230.40843750000002,-230.95927734375002,7,494,4
104.99625,-251.4240234375,8,84,4
-521.0925000000001,-259.2201171875,5,568,3
500.67656250000005,-260.19462890625005,5,565,4
-17.499375,-262.14365234375003,8,627,3
98.1909375,-268.965234375,8,151,4
347.0709375,-298.2005859375,6,457,4
-183.74343750000003,-306.97119140625,7,170,3
40.831875000000004,-307.945703125,7,481,4
-84.5803125,-340.10458984375003,7,312,3
100.13531250000001,-339.130078125,7,506,4
167.21625,-365.44189453125,6,407,4
183.74343750000003,-367.39091796875005,6,1,4
-95.274375,-383.95761718750003,6,340,3
-213.88125000000002,-398.57529296875003,6,933,3
53.470312500000006,-397.60078125,6,234,4
384.98625000000004,-428.78515625000006,5,465,4
-140.96718750000002,-450.22441406250005,6,422,3
32.0821875,-489.20488281250005,5,432,4
107.9128125,-490.17939453125,5,216,4
-195.40968750000002,-493.1029296875,5,362,3
-8.7496875,-505.77158203125003,5,376,3
-77.775,-523.31279296875,5,355,3
-195.40968750000002,-561.31875,4,1294,3
-547.3415625,-679.23466796875,2,314,3
-460.81687500000004,-740.62890625,2,210,3
186.66000000000003,-745.50146484375,3,427,4
-351.93187500000005,-747.45048828125,2,825,3
430.67906250000004,-841.9781250000001,1,258,4
61.2478125,-990.10390625,0,366,4
