x,y,score,area,zone
396.79062500000003,966.9121875000001,0,646,2
-16.3625,818.3109375,2,600,1
201.46328125000002,477.93375000000003,5,512,2
-561.43828125,475.925625,3,376,1
-570.6421875000001,452.83218750000003,3,17,1
-122.71875000000001,452.83218750000003,6,334,1
332.36328125,362.4665625,5,367,2
176.91953125,322.30406250000004,7,5,2
158.51171875,319.291875,7,413,2
392.70000000000005,305.235,5,132,2
314.97812500000003,285.15375,6,387,2
383.49609375,269.08875,6,67,2
468.37656250000003,242.98312500000003,5,790,2
-25.566406250000004,225.91406250000003,8,435,1
383.49609375,225.91406250000003,6,317,2
780.2867187500001,204.82875,2,309,2
-589.0500000000001,203.8246875,4,494,1
-46.01953125,196.79625000000001,8,467,1
-160.55703125000002,186.755625,8,244,1
-707.678125,181.73531250000002,3,434,1
-393.72265625,167.6784375,6,281,1
-233.165625,163.66218750000002,8,354,1
-595.1859375,149.6053125,4,726,1
-298.615625,107.43468750000001,7,346,1
120.6734375,101.4103125,9,140,2
-448.94609375000005,72.2925,6,326,1
-517.4640625000001,69.28031250000001,5,371,1
-151.353125,68.27625,9,309,1
-289.41171875000003,63.2559375,7,118,1
-238.27890625,63.2559375,8,13,1
120.6734375,40.1625,9,200,2
-326.22734375000005,34.138125,7,236,1
-389.63203125,12.04875,6,614,1
-148.28515625,4.01625,9,204,1
-272.0265625,-10.040625,8,37,3
-306.796875,-11.0446875,7,208,3
114.53750000000001,-46.186875,9,127,4
479.62578125000005,-52.21125000000001,6,396,4
165.67031250000002,-59.2396875,9,113,4
248.50546875,-61.2478125,8,386,4
-710.74609375,-77.3128125,3,878,3
277.13984375,-86.34937500000001,7,408,4
-411.1078125,-98.39812500000001,6,460,3
68.51796875000001,-108.43875000000001,9,168,4
-756.765625,-111.45093750000001,3,473,3
329.2953125,-137.5565625,7,356,4
226.00703125,-150.609375,8,456,4
248.50546875,-156.63375000000002,7,25,4
-410.08515625,-164.66625000000002,6,567,3
253.61875,-164.66625000000002,7,8,4
-296.5703125,-176.715,7,307,3
-497.0109375,-196.79625000000001,5,477,3
-279.18515625000003,-195.7921875,7,1,3
-277.13984375,-196.79625000000001,7,2,3
-278.1625,-203.8246875,7,4,3
-120.6734375,-204.82875,8,924,3
-766.9921875,-215.87343750000002,2,631,3
-114.53750000000001,-228.92625,8,6,3
585.9820312500001,-227.9221875,4,8,4
-215.78046875,-246.99937500000001,7,1,3
151.353125,-251.01562500000003,7,325,4
51.13281250000001,-252.01968750000003,8,592,4
-123.74140625000001,-259.048125,8,5,3
521.5546875,-259.048125,5,830,4
-242.36953125000002,-261.05625000000003,7,183,3
-98.17500000000001,-292.1821875,7,3,3
-107.37890625000001,-303.226875,7,36,3
-121.69609375,-308.2471875,7,128,3
122.71875000000001,-338.36906250000004,7,245,4
612.57109375,-346.4015625,3,444,4
-309.86484375000003,-352.42593750000003,6,547,3
384.51875,-366.4828125,5,626,4
-493.94296875000003,-374.51531250000005,4,594,3
-99.19765625000001,-392.58843750000005,6,452,3
124.76406250000001,-394.5965625,6,729,4
564.50625,-395.60062500000004,3,464,4
-164.64765625,-485.96625000000006,5,706,3
199.41796875000003,-752.0428125000001,2,40,4
-119.65078125000001,-772.1240625,2,714,3
