x,y,score,area,zone
-514.9688476562501,269.57185546875,5,475,1
-102.99376953125001,102.18427734375001,9,284,1
369.6225,97.318359375,7,308,2
102.99376953125001,76.88150390625,9,537,2
748.8705859375001,32.11505859375,3,411,2
-213.68800781250002,7.785468750000001,8,419,1
-372.51017578125004,1.9463671875000002,7,397,1
306.0936328125,-0.0,7,391,0
-43.315136718750004,-6.812285156250001,10,391,3
-537.1076953125,-81.747421875,5,330,3
618.92517578125,-102.18427734375001,4,358,4
-607.3744726562501,-118.7283984375,4,634,3
-417.7504296875,-211.18083984375002,6,344,3
-383.09832031250005,-233.5640625,6,418,3
167.48519531250003,-244.26908203125,7,272,4
-144.3837890625,-284.169609375,7,384,3
-629.5133203125,-289.03552734375,3,400,3
-488.979765625,-301.6869140625,5,327,3
-59.678632812500005,-310.44556640625,7,470,3
131.87052734375,-342.560625,7,206,4
-431.22625000000005,-360.07792968750005,5,415,3
190.58660156250002,-367.86339843750005,6,352,4
-375.3978515625,-386.35388671875,5,287,3
91.44306640625001,-399.0052734375,6,352,4
-282.99222656250004,-414.57621093750004,5,388,3
-131.87052734375,-436.95943359375,6,276,3
72.19189453125,-451.55718750000005,6,425,4
172.29798828125,-469.0744921875,5,302,4
-10.58814453125,-490.48453125000003,5,364,3
-836.46341796875,-557.63419921875,0,111,3
-238.71453125000002,-620.8911328125,4,416,3
-68.34166015625,-647.1670898437501,4,230,3
-576.5725976562501,-724.04859375,1,240,3
-484.16697265625004,-748.37818359375,1,233,3
-740.20755859375,-764.9223046875001,0,74,3
-156.89705078125002,-798.010546875,2,349,3
