x,y,score,area,zone
599.4130273437501,889.5515625,0,20,2
96.89402343750001,819.5540625000001,2,700,2
120.64255859375001,734.9737500000001,3,645,2
261.23388671875,698.0306250000001,3,559,2
-211.83693359375002,677.6146875000001,3,656,1
113.04302734375001,676.6425,3,484,2
-283.0825390625,633.86625,3,718,1
417.02427734375004,611.5059375000001,3,669,2
-84.54478515625,589.145625,4,715,1
177.63904296875,589.145625,4,1049,2
-915.7435156250001,585.256875,0,489,1
-151.04068359375,551.2303125000001,5,900,1
360.977734375,535.6753125,4,351,2
89.29449218750001,513.315,5,714,2
493.01958984375005,501.64875000000006,3,1298,2
88.34455078125,480.26062500000006,5,511,2
446.47246093750005,479.28843750000004,4,731,2
203.28746093750001,477.3440625,5,795,2
-454.07199218750003,470.53875000000005,4,911,1
514.8682421875001,455.9559375,3,1,2
420.82404296875,412.20750000000004,4,829,2
-180.4888671875,385.9584375,6,700,1
-974.6398828125001,368.4590625,0,779,1
-388.52603515625003,362.6259375,5,632,1
206.13728515625002,322.76625,7,1105,2
-815.99966796875,290.68406250000004,2,219,1
-476.87058593750004,286.7953125,5,13,1
-474.02076171875,281.93437500000005,5,409,1
-796.0508984375001,278.04562500000003,2,1,1
-74.0954296875,258.601875,8,50,1
-76.94525390625,251.79656250000002,8,107,1
-60.79625000000001,249.8521875,8,130,1
439.82287109375005,244.99125,5,896,2
791.30119140625,244.01906250000002,2,529,2
-791.30119140625,195.40968750000002,2,356,1
-407.52486328125,182.77125,6,710,1
270.73330078125,156.5221875,7,817,2
-780.8518359375,139.995,2,400,1
63.64607421875,124.44000000000001,9,653,2
-229.88582031250002,121.52343750000001,8,103,1
528.1674218750001,114.71812500000001,5,546,2
-131.0919140625,85.55250000000001,9,454,1
826.4490234375,84.5803125,2,544,2
214.68675781250002,78.74718750000001,8,17,2
72.195546875,74.85843750000001,9,665,2
207.0872265625,71.94187500000001,8,401,2
267.8834765625,66.10875,8,1637,2
-66.4958984375,58.331250000000004,10,430,1
384.72626953125,46.665000000000006,6,117,2
497.769296875,34.99875,5,943,2
392.32580078125005,26.2490625,6,557,2
-130.14197265625,12.6384375,9,1363,1
73.14548828125001,10.694062500000001,10,567,2
-199.48769531250002,-12.6384375,8,595,3
-609.8623828125001,-28.1934375,4,458,3
-255.53423828125003,-80.6915625,8,791,3
-595.6132617187501,-82.63593750000001,4,1080,3
165.2898046875,-107.9128125,8,596,4
-58.896367187500005,-118.606875,9,698,3
81.6949609375,-120.55125000000001,9,93,4
67.44583984375001,-130.27312500000002,9,503,4
591.81349609375,-154.57781250000002,4,621,4
-246.98476562500002,-162.35531250000003,7,457,3
173.83927734375,-177.9103125,8,298,4
295.43177734375,-189.57656250000002,7,383,4
-293.53189453125003,-210.96468750000003,7,390,3
139.64138671875,-210.96468750000003,8,654,4
347.6785546875,-252.76875,6,508,4
-46.54712890625,-280.9621875,8,563,3
-479.72041015625,-350.95968750000003,4,1036,3
-265.03365234375,-355.820625,6,272,3
380.92650390625005,-401.5134375,5,697,4
-464.52134765625004,-437.48437500000006,4,877,3
245.0848828125,-497.76000000000005,5,1045,4
230.83576171875,-894.4125,1,356,4
