x,y,score,area,zone
-417.976875,679.5152343750001,2,219,1
-8.893125000000001,633.2294140625,4,379,1
85.966875,573.1563281250001,5,385,2
-102.765,447.101328125,6,590,1
162.0525,428.3900390625,6,223,2
238.13812500000003,410.66355468750004,6,297,2
-858.6806250000001,409.67875000000004,1,297,1
312.2475,373.2409765625,5,416,2
-296.4375,342.71203125000005,6,321,1
763.8206250000001,309.22867187500003,2,157,2
324.105,285.59335937500003,6,260,2
18.774375000000003,268.8516796875,8,169,2
-633.3881250000001,233.39871093750003,4,482,1
146.2425,195.97613281250003,8,232,2
-794.4525000000001,185.14328125,2,270,1
-86.95500000000001,129.99421875000002,9,366,1
-293.47312500000004,123.10058593750001,7,214,1
-197.625,104.38929687500001,8,216,1
-159.08812500000002,70.90593750000001,9,250,1
262.84125,61.057890625000006,8,58,2
79.05000000000001,57.118671875000004,9,319,2
11.857500000000002,36.437773437500006,10,72,2
113.634375,30.528945312500003,9,197,2
-114.6225,27.574531250000003,9,216,1
-707.4975000000001,7.8784375,3,797,1
535.56375,6.893632812500001,5,291,2
86.95500000000001,2.9544140625,10,282,2
174.89812500000002,-4.924023437500001,9,314,4
-906.110625,-7.8784375,1,316,3
-577.065,-7.8784375,5,342,3
-415.01250000000005,-40.3769921875,6,611,3
-153.159375,-48.255429687500005,9,263,3
-556.314375,-53.179453125,5,207,3
-70.156875,-87.6476171875,9,301,3
-159.08812500000002,-94.54125,9,195,3
-195.64875,-101.4348828125,8,322,3
-377.46375,-105.3741015625,6,344,3
-632.4000000000001,-120.14617187500001,4,478,3
-429.834375,-144.76628906250002,6,349,3
-217.38750000000002,-182.18886718750002,8,354,3
-489.12187500000005,-184.15847656250003,5,781,3
-144.26625,-186.1280859375,8,206,3
-34.584375,-189.0825,8,260,3
-577.065,-223.5506640625,4,447,3
-329.04562500000003,-254.07960937500002,6,205,3
-180.826875,-262.94285156250004,7,359,3
-246.04312500000003,-278.6997265625,7,289,3
-832.00125,-290.51738281250005,1,204,3
13.83375,-293.471796875,7,382,4
-382.404375,-299.380625,5,371,3
-601.768125,-323.0159375,3,590,3
511.84875000000005,-382.10421875000003,4,293,4
-368.570625,-395.891484375,5,284,3
125.49187500000001,-404.7547265625,6,270,4
-181.81500000000003,-481.56949218750003,5,169,3
213.435,-514.068046875,5,204,4
-203.55375,-605.6548828125001,4,327,3
-612.6375,-620.4269531250001,2,264,3
-757.891875,-639.1382421875,0,216,3
-692.6756250000001,-725.8010546875,0,317,3
314.22375,-729.7402734375,2,206,4
-511.84875000000005,-743.5275390625001,1,267,3
-285.568125,-750.421171875,2,369,3
