x,y,score,area,zone
-49.361425781250006,294.15876953125,7,432,1
396.82714843750006,278.41783203125004,5,155,2
-674.6061523437501,274.48259765625,3,468,1
28.06826171875,185.93982421875,9,254,2
-459.73876953125006,180.03697265625001,5,221,1
103.56220703125001,167.24746093750002,8,216,2
60.97587890625,151.50652343750002,9,203,2
-331.97978515625005,129.862734375,7,279,1
-229.38544921875,124.94369140625001,8,224,1
48.3935546875,109.20275390625001,9,114,2
-432.63837890625,108.21894531250001,6,235,1
-167.44169921875002,102.31609375000001,8,243,1
21.2931640625,100.34847656250001,9,211,2
70.65458984375,98.380859375,9,139,2
-319.3974609375,88.5427734375,7,265,1
-64.84736328125001,88.5427734375,9,231,1
-403.60224609375,74.769453125,6,204,1
-7.74296875,73.78564453125,10,37,1
-139.37343750000002,66.898984375,9,469,1
-76.46181640625001,63.94755859375,9,159,1
54.200781250000006,51.158046875000004,10,149,2
-294.2328125,41.3199609375,7,147,1
-83.2369140625,36.40091796875,10,152,1
-43.55419921875,23.61140625,10,278,1
-320.36533203125003,9.8380859375,7,279,1
-285.52197265625,3.9352343750000003,8,342,1
-60.97587890625,-0.9838085937500001,10,221,3
149.05214843750002,-9.8380859375,9,179,4
-90.97988281250001,-13.773320312500001,10,262,3
15.4859375,-15.740937500000001,10,136,4
-154.859375,-19.676171875,9,261,3
-248.74287109375,-31.481875000000002,8,369,3
-301.97578125,-43.287578125,7,389,3
-199.3814453125,-45.2551953125,8,310,3
-454.89941406250006,-61.979941406250006,6,239,3
-25.164648437500002,-75.75326171875001,10,623,3
-229.38544921875,-82.639921875,8,1327,3
-163.57021484375002,-97.39705078125,9,99,3
-410.37734375,-103.29990234375,6,293,3
-141.3091796875,-106.251328125,9,84,3
17.421679687500003,-116.08941406250001,9,279,4
-429.734765625,-121.992265625,6,237,3
-366.82314453125,-128.87892578125002,6,329,3
-401.66650390625006,-152.49033203125,6,369,3
-179.05615234375,-155.44175781250001,8,210,3
117.11240234375,-172.16650390625,8,252,4
-67.7509765625,-280.38544921875,7,456,3
-310.68662109375003,-310.88351562500003,6,525,3
